InvoiceID,Date,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,TotalPrice,Revenue,COGS,CustomerRating
CAR-CLO-043,1/26/2019,Carbon Creek,Normal,Male,Clothing,21.32,1.0,1.07,22.39,21.32,20.57,5.9
CAR-CLO-044,1/19/2019,Carbon Creek,Normal,Female,Clothing,99.1,6.0,29.73,624.33,594.6,571.03,4.2
CAR-CLO-045,1/25/2019,Carbon Creek,Normal,Male,Clothing,74.1,1.0,3.71,77.81,74.1,71.47,9.2
CAR-CLO-046,2/19/2019,Carbon Creek,Normal,Female,Clothing,98.48,2.0,9.85,206.81,196.96,187.28,9.2
CAR-CLO-047,1/31/2019,Carbon Creek,Member,Male,Clothing,51.34,8.0,20.54,431.26,410.72,391.43,7.6
CAR-CLO-048,3/11/2019,Carbon Creek,Normal,Female,Clothing,94.67,4.0,18.93,397.61,378.68,362.72,6.8
CAR-CLO-049,1/6/2019,Carbon Creek,Normal,Female,Clothing,42.57,7.0,14.9,312.89,297.99,286.23,6.8
CAR-CLO-050,3/19/2019,Carbon Creek,Normal,Female,Clothing,15.5,1.0,0.78,16.28,15.5,15.09,7.4
CAR-CLO-051,2/18/2019,Carbon Creek,Member,Female,Clothing,88.34,7.0,30.92,649.3,618.38,594.5,6.6
CAR-ELE-001,2/25/2019,Carbon Creek,Member,Female,Electronics,68.84,6.0,20.65,433.69,413.04,395.42,5.8
CAR-ELE-002,2/12/2019,Carbon Creek,Normal,Female,Electronics,46.95,5.0,11.74,246.49,234.75,225.46,7.1
CAR-ELE-003,2/17/2019,Carbon Creek,Normal,Male,Electronics,34.56,5.0,8.64,181.44,172.8,167.57,9.9
CAR-ELE-004,1/15/2019,Carbon Creek,Normal,Female,Electronics,60.88,9.0,27.4,575.32,547.92,528.02,4.7
CAR-ELE-005,3/8/2019,Carbon Creek,Normal,Male,Electronics,97.16,1.0,4.86,102.02,97.16,92.68,7.2
CAR-ELE-006,1/12/2019,Carbon Creek,Member,Male,Electronics,88.67,10.0,44.34,931.04,886.7,847.41,7.3
CAR-ELE-007,2/14/2019,Carbon Creek,Normal,Female,Electronics,99.56,8.0,39.82,836.3,796.48,777.04,5.2
CAR-ELE-008,1/18/2019,Carbon Creek,Normal,Female,Electronics,26.31,5.0,6.58,138.13,131.55,128.38,8.8
CAR-ELE-009,3/19/2019,Carbon Creek,Normal,Male,Electronics,32.71,5.0,8.18,171.73,163.55,159.26,9.9
CAR-ELE-010,1/25/2019,Carbon Creek,Normal,Male,Electronics,26.23,9.0,11.8,247.87,236.07,226.32,5.9
CAR-ELE-011,2/21/2019,Carbon Creek,Member,Female,Electronics,94.64,3.0,14.2,298.12,283.92,269.76,5.5
CAR-ELE-012,1/7/2019,Carbon Creek,Member,Male,Electronics,77.72,4.0,15.54,326.42,310.88,296.12,8.8
CAR-ELE-013,1/31/2019,Carbon Creek,Member,Male,Electronics,66.35,1.0,3.32,69.67,66.35,64.76,9.7
CAR-ELE-014,2/13/2019,Carbon Creek,Member,Male,Electronics,32.25,4.0,6.45,135.45,129.0,122.95,6.5
CAR-ELE-015,3/19/2019,Carbon Creek,Normal,Female,Electronics,75.06,9.0,33.78,709.32,675.54,642.37,6.2
CAR-ELE-016,2/18/2019,Carbon Creek,Member,Female,Electronics,62.48,1.0,3.12,65.6,62.48,60.43,4.7
CAR-ELE-017,3/18/2019,Carbon Creek,Normal,Female,Electronics,51.19,4.0,10.24,215.0,204.76,196.56,4.7
CAR-ELE-018,3/26/2019,Carbon Creek,Member,Male,Electronics,72.2,7.0,25.27,530.67,505.4,489.28,4.3
CAR-ELE-019,3/21/2019,Carbon Creek,Member,Female,Electronics,26.48,3.0,3.97,83.41,79.44,77.62,4.7
CAR-ELE-020,3/25/2019,Carbon Creek,Member,Male,Electronics,36.36,4.0,7.27,152.71,145.44,141.32,7.6
CAR-ELE-021,3/21/2019,Carbon Creek,Member,Female,Electronics,28.45,5.0,7.11,149.36,142.25,136.99,9.1
CAR-ELE-022,2/4/2019,Carbon Creek,Member,Male,Electronics,71.95,1.0,3.6,75.55,71.95,68.08,7.3
CAR-ELE-023,3/28/2019,Carbon Creek,Normal,Male,Electronics,26.02,7.0,9.11,191.25,182.14,174.5,5.1
CAR-ELE-024,1/26/2019,Carbon Creek,Normal,Male,Electronics,51.69,7.0,18.09,379.92,361.83,344.34,5.5
CAR-ELE-025,3/6/2019,Carbon Creek,Member,Male,Electronics,21.5,9.0,9.68,203.18,193.5,188.81,7.8
CAR-ELE-026,2/13/2019,Carbon Creek,Member,Male,Electronics,76.82,1.0,3.84,80.66,76.82,73.5,7.2
CAR-ELE-027,2/4/2019,Carbon Creek,Member,Female,Electronics,25.22,7.0,8.83,185.37,176.54,168.62,8.2
CAR-ELE-028,1/13/2019,Carbon Creek,Normal,Female,Electronics,23.46,6.0,7.04,147.8,140.76,136.72,6.4
CAR-ELE-029,1/31/2019,Carbon Creek,Member,Male,Electronics,20.77,4.0,4.15,87.23,83.08,78.74,4.7
CAR-ELE-030,3/30/2019,Carbon Creek,Member,Female,Electronics,64.44,5.0,16.11,338.31,322.2,306.2,6.6
CAR-ELE-031,1/29/2019,Carbon Creek,Normal,Male,Electronics,38.6,1.0,1.93,40.53,38.6,37.01,6.7
CAR-ELE-032,1/28/2019,Carbon Creek,Member,Male,Electronics,24.18,8.0,9.67,203.11,193.44,184.36,9.8
CAR-ELE-033,3/14/2019,Carbon Creek,Normal,Male,Electronics,99.55,7.0,34.84,731.69,696.85,661.22,7.6
CAR-ELE-034,1/23/2019,Carbon Creek,Normal,Female,Electronics,66.06,6.0,19.82,416.18,396.36,374.6,7.3
CAR-ELE-035,3/25/2019,Carbon Creek,Member,Male,Electronics,19.32,7.0,6.76,142.0,135.24,129.09,6.9
CAR-ELE-036,3/20/2019,Carbon Creek,Member,Male,Electronics,74.51,6.0,22.35,469.41,447.06,433.7,5.0
CAR-ELE-037,2/7/2019,Carbon Creek,Normal,Female,Electronics,28.96,1.0,1.45,30.41,28.96,28.24,6.2
CAR-ELE-038,3/5/2019,Carbon Creek,Normal,Male,Electronics,78.31,3.0,11.75,246.68,234.93,226.26,5.4
CAR-ELE-039,3/14/2019,Carbon Creek,Normal,Female,Electronics,15.69,3.0,2.35,49.42,47.07,44.46,5.8
CAR-ELE-040,3/1/2019,Carbon Creek,Normal,Female,Electronics,45.48,10.0,22.74,477.54,454.8,429.22,4.8
CAR-ELE-041,2/19/2019,Carbon Creek,Member,Male,Electronics,69.58,9.0,31.31,657.53,626.22,598.9,7.8
CAR-ELE-042,1/19/2019,Carbon Creek,Member,Male,Electronics,11.94,3.0,1.79,37.61,35.82,34.75,8.1
CAR-ELE-043,2/22/2019,Carbon Creek,Member,Female,Electronics,17.42,10.0,8.71,182.91,174.2,170.62,7.0
CAR-ELE-044,2/4/2019,Carbon Creek,Normal,Male,Electronics,74.58,7.0,26.1,548.16,522.06,499.56,9.0
CAR-ELE-045,2/27/2019,Carbon Creek,Member,Male,Electronics,92.6,7.0,32.41,680.61,648.2,632.92,9.3
CAR-ELE-046,2/26/2019,Carbon Creek,Normal,Female,Electronics,46.61,2.0,4.66,97.88,93.22,88.36,6.6
CAR-ELE-047,1/8/2019,Carbon Creek,Normal,Female,Electronics,50.23,4.0,10.05,210.97,200.92,194.84,9.0
CAR-ELE-048,2/24/2019,Carbon Creek,Normal,Female,Electronics,40.26,10.0,20.13,422.73,402.6,392.41,5.0
CAR-ELE-049,3/22/2019,Carbon Creek,Normal,Male,Electronics,95.15,1.0,4.76,99.91,95.15,91.18,6.0
CAR-ELE-050,1/24/2019,Carbon Creek,Member,Female,Electronics,48.62,8.0,19.45,408.41,388.96,370.3,5.0
CAR-ELE-051,1/1/2019,Carbon Creek,Member,Female,Electronics,74.22,10.0,37.11,779.31,742.2,713.95,4.3
CAR-ELE-052,1/24/2019,Carbon Creek,Normal,Male,Electronics,10.56,8.0,4.22,88.7,84.48,79.96,7.6
CAR-ELE-053,1/30/2019,Carbon Creek,Member,Male,Electronics,93.78,3.0,14.07,295.41,281.34,273.52,5.9
CAR-ELE-054,1/27/2019,Carbon Creek,Member,Male,Electronics,73.26,1.0,3.66,76.92,73.26,69.44,9.7
CAR-ELE-055,1/8/2019,Carbon Creek,Member,Female,Electronics,79.59,3.0,11.94,250.71,238.77,231.03,6.6
CAR-ELE-056,3/21/2019,Carbon Creek,Normal,Female,Electronics,90.02,8.0,36.01,756.17,720.16,680.66,4.5
CAR-ELE-057,3/23/2019,Carbon Creek,Member,Female,Electronics,73.47,10.0,36.74,771.44,734.7,698.66,9.5
CAR-ELE-058,1/5/2019,Carbon Creek,Normal,Female,Electronics,93.88,7.0,32.86,690.02,657.16,631.13,7.3
CAR-ELE-059,2/5/2019,Carbon Creek,Member,Male,Electronics,20.89,2.0,2.09,43.87,41.78,39.78,9.8
CAR-ELE-060,3/10/2019,Carbon Creek,Normal,Male,Electronics,58.03,2.0,5.8,121.86,,,8.8
CAR-FBV-001,2/7/2019,Carbon Creek,Normal,Male,Food and beverages,43.19,10.0,21.6,453.5,431.9,420.76,8.2
CAR-FBV-002,1/21/2019,Carbon Creek,Normal,Male,Food and beverages,54.67,3.0,8.2,172.21,164.01,158.23,8.6
CAR-FBV-003,2/10/2019,Carbon Creek,Member,Female,Food and beverages,44.59,5.0,11.15,234.1,222.95,211.81,8.5
CAR-FBV-004,3/27/2019,Carbon Creek,Member,Male,Food and beverages,49.38,7.0,17.28,362.94,345.66,326.53,7.3
CAR-FBV-005,3/23/2019,Carbon Creek,Normal,Male,Food and beverages,52.75,3.0,7.91,166.16,158.25,152.99,9.3
CAR-FBV-006,3/28/2019,Carbon Creek,Normal,Male,Food and beverages,58.26,6.0,17.48,367.04,349.56,336.31,9.9
CAR-FBV-007,2/2/2019,Carbon Creek,Normal,Female,Food and beverages,10.96,10.0,5.48,115.08,109.6,107.06,6.0
CAR-FBV-008,2/20/2019,Carbon Creek,Member,Male,Food and beverages,92.29,5.0,23.07,484.52,461.45,445.41,9.0
CAR-FBV-009,3/13/2019,Carbon Creek,Normal,Male,Food and beverages,45.79,7.0,16.03,336.56,320.53,303.78,7.0
CAR-FBV-010,1/19/2019,Carbon Creek,Normal,Male,Food and beverages,51.28,6.0,15.38,323.06,307.68,291.52,6.5
CAR-FBV-011,3/3/2019,Carbon Creek,Member,Male,Food and beverages,22.17,8.0,8.87,186.23,177.36,169.38,9.6
CAR-FBV-012,3/23/2019,Carbon Creek,Normal,Male,Food and beverages,73.88,6.0,22.16,465.44,443.28,433.78,4.4
CAR-FBV-013,3/20/2019,Carbon Creek,Normal,Male,Food and beverages,43.25,2.0,4.33,90.83,86.5,83.86,6.2
CAR-FBV-014,1/11/2019,Carbon Creek,Normal,Male,Food and beverages,24.94,9.0,11.22,235.68,224.46,217.48,5.6
CAR-FBV-015,1/21/2019,Carbon Creek,Member,Female,Food and beverages,36.36,2.0,3.64,76.36,72.72,70.26,7.1
CAR-FBV-016,2/1/2019,Carbon Creek,Member,Female,Food and beverages,14.23,5.0,3.56,74.71,71.15,67.23,4.4
CAR-FBV-017,3/9/2019,Carbon Creek,Member,Male,Food and beverages,99.78,5.0,24.95,523.85,498.9,474.34,5.4
CAR-FBV-018,2/17/2019,Carbon Creek,Normal,Male,Food and beverages,32.9,3.0,4.94,103.64,98.7,95.96,9.1
CAR-FBV-019,3/14/2019,Carbon Creek,Member,Male,Food and beverages,23.48,2.0,2.35,49.31,46.96,45.36,7.9
CAR-FBV-020,2/17/2019,Carbon Creek,Member,Male,Food and beverages,80.96,8.0,32.38,680.06,647.68,612.11,7.4
CAR-FBV-021,1/6/2019,Carbon Creek,Normal,Female,Food and beverages,40.94,5.0,10.24,214.94,204.7,196.21,9.9
CAR-FBV-022,3/13/2019,Carbon Creek,Normal,Female,Food and beverages,54.27,5.0,13.57,284.92,271.35,257.8,4.6
CAR-FBV-023,1/11/2019,Carbon Creek,Normal,Male,Food and beverages,13.79,5.0,3.45,72.4,68.95,65.05,7.8
CAR-FBV-024,3/16/2019,Carbon Creek,Normal,Female,Food and beverages,63.61,5.0,15.9,333.95,318.05,302.89,4.8
CAR-FBV-025,3/28/2019,Carbon Creek,Member,Male,Food and beverages,51.34,5.0,12.84,269.54,256.7,243.84,9.1
CAR-FBV-026,1/27/2019,Carbon Creek,Normal,Male,Food and beverages,81.71,6.0,24.51,514.77,490.26,463.15,8.0
CAR-FBV-027,1/2/2019,Carbon Creek,Member,Male,Food and beverages,41.66,6.0,12.5,262.46,249.96,240.97,5.6
CAR-FBV-028,1/17/2019,Carbon Creek,Normal,Female,Food and beverages,81.21,10.0,40.61,852.71,812.1,782.54,6.3
CAR-FBV-029,3/10/2019,Carbon Creek,Member,Male,Food and beverages,10.13,7.0,3.55,74.46,70.91,69.15,8.3
CAR-FBV-030,3/27/2019,Carbon Creek,Normal,Female,Food and beverages,52.34,3.0,7.85,164.87,157.02,152.85,9.2
CAR-FBV-031,2/15/2019,Carbon Creek,Normal,Male,Food and beverages,52.2,3.0,7.83,164.43,156.6,152.47,9.5
CAR-FBV-032,2/3/2019,Carbon Creek,Member,Male,Food and beverages,67.45,10.0,33.73,708.23,674.5,638.55,4.2
CAR-FBV-033,1/23/2019,Carbon Creek,Member,Male,Food and beverages,98.53,6.0,29.56,620.74,591.18,567.19,4.0
CAR-FBV-034,3/28/2019,Carbon Creek,Normal,Female,Food and beverages,71.68,3.0,10.75,225.79,215.04,204.28,9.2
CAR-FBV-035,3/20/2019,Carbon Creek,Member,Female,Food and beverages,91.61,1.0,4.58,96.19,91.61,86.54,9.8
CAR-FBV-036,1/15/2019,Carbon Creek,Member,Male,Food and beverages,83.77,2.0,8.38,175.92,167.54,159.72,7.0
CAR-FBV-037,2/23/2019,Carbon Creek,Member,Female,Food and beverages,73.47,4.0,14.69,308.57,293.88,285.44,6.0
CAR-FBV-038,1/11/2019,Carbon Creek,Member,Male,Food and beverages,48.5,6.0,14.55,305.55,291.0,282.94,9.4
CAR-FBV-039,2/15/2019,Carbon Creek,Normal,Female,Food and beverages,67.1,3.0,10.07,211.37,201.3,193.81,7.5
CAR-FBV-040,2/28/2019,Carbon Creek,Member,Male,Food and beverages,80.62,6.0,24.19,507.91,483.72,461.07,9.1
CAR-FBV-041,2/3/2019,Carbon Creek,Normal,Female,Food and beverages,27.28,5.0,6.82,143.22,136.4,129.17,8.6
CAR-FBV-042,2/27/2019,Carbon Creek,Member,Male,Food and beverages,18.85,10.0,9.43,197.93,188.5,179.06,5.6
CAR-FBV-043,3/25/2019,Carbon Creek,Normal,Female,Food and beverages,55.39,4.0,11.08,232.64,221.56,215.42,8.0
CAR-FBV-044,1/19/2019,Carbon Creek,Normal,Male,Food and beverages,33.88,8.0,13.55,284.59,271.04,262.59,9.6
CAR-FBV-045,1/23/2019,Carbon Creek,Member,Female,Food and beverages,47.63,9.0,21.43,450.1,428.67,420.26,5.0
CAR-FBV-046,2/16/2019,Carbon Creek,Member,Male,Food and beverages,24.82,7.0,8.69,182.43,173.74,165.63,7.1
CAR-FBV-047,3/19/2019,Carbon Creek,Member,Female,Food and beverages,83.34,2.0,8.33,175.01,166.68,157.28,7.6
CAR-FBV-048,2/5/2019,Carbon Creek,Member,Male,Food and beverages,87.9,1.0,4.4,92.3,87.9,83.34,6.7
CAR-FBV-049,2/9/2019,Carbon Creek,Member,Male,Food and beverages,35.04,9.0,15.77,331.13,315.36,299.51,4.6
CAR-FBV-050,1/28/2019,Carbon Creek,Normal,Male,Food and beverages,11.53,7.0,4.04,84.75,80.71,77.68,8.1
CAR-FBV-051,3/27/2019,Carbon Creek,Member,Female,Food and beverages,79.54,2.0,7.95,167.03,159.08,153.31,6.2
CAR-FBV-052,2/25/2019,Carbon Creek,Member,Female,Food and beverages,99.6,3.0,14.94,313.74,298.8,288.24,5.8
CAR-FBV-053,2/27/2019,Carbon Creek,Normal,Female,Food and beverages,74.44,10.0,37.22,781.62,744.4,729.03,5.1
CAR-FBV-054,3/2/2019,Carbon Creek,Normal,Male,Food and beverages,66.52,,13.3,279.38,266.08,256.98,6.9
CAR-FBV-055,2/19/2019,Carbon Creek,Member,Female,Food and beverages,98.66,9.0,44.4,932.34,887.94,852.84,8.4
CAR-FBV-056,3/4/2019,Carbon Creek,Normal,Female,Food and beverages,74.66,4.0,14.93,313.57,298.64,289.23,8.5
CAR-FBV-057,3/22/2019,Carbon Creek,Normal,Female,Food and beverages,56.56,5.0,14.14,296.94,282.8,270.72,4.5
CAR-FBV-058,2/9/2019,Carbon Creek,Member,Male,Food and beverages,31.84,1.0,1.59,33.43,31.84,30.39,7.7
CAR-HBE-001,1/5/2019,Carbon Creek,Member,Female,Health and beauty,74.69,7.0,26.14,548.97,522.83,500.24,9.1
CAR-HBE-002,1/27/2019,Carbon Creek,Member,Male,Health and beauty,58.22,8.0,23.29,489.05,465.76,430.98,8.4
CAR-HBE-003,1/10/2019,Carbon Creek,Member,Female,Health and beauty,36.26,2.0,3.63,76.15,72.52,69.8,7.2
CAR-HBE-004,3/29/2019,Carbon Creek,Normal,Female,Health and beauty,71.38,10.0,35.69,749.49,713.8,675.18,5.7
CAR-HBE-005,3/11/2019,Carbon Creek,Member,Female,Health and beauty,68.93,7.0,24.13,506.64,482.51,463.19,4.6
CAR-HBE-006,3/15/2019,Carbon Creek,Normal,Male,Health and beauty,24.89,9.0,11.2,235.21,224.01,217.1,7.4
CAR-HBE-007,3/15/2019,Carbon Creek,Normal,Male,Health and beauty,96.58,2.0,9.66,202.82,193.16,188.31,5.1
CAR-HBE-008,2/7/2019,Carbon Creek,Normal,Male,Health and beauty,89.6,8.0,35.84,752.64,716.8,677.16,6.6
CAR-HBE-009,3/13/2019,Carbon Creek,Member,Male,Health and beauty,15.87,10.0,7.94,166.64,158.7,155.48,5.8
CAR-HBE-010,2/2/2019,Carbon Creek,Member,Female,Health and beauty,18.33,1.0,0.92,19.25,18.33,17.31,4.3
CAR-HBE-011,3/27/2019,Carbon Creek,Normal,Male,Health and beauty,32.46,8.0,12.98,272.66,259.68,251.97,4.9
CAR-HBE-012,1/3/2019,Carbon Creek,Normal,Male,Health and beauty,70.01,5.0,17.5,367.55,350.05,331.46,5.5
CAR-HBE-013,1/3/2019,Carbon Creek,Normal,Female,Health and beauty,23.03,9.0,10.36,217.63,207.27,198.64,7.9
CAR-HBE-014,3/9/2019,Carbon Creek,Member,Male,Health and beauty,51.94,10.0,25.97,545.37,519.4,508.64,6.5
CAR-HBE-015,3/11/2019,Carbon Creek,Normal,Male,Health and beauty,59.77,2.0,5.98,125.52,119.54,115.72,5.8
CAR-HBE-016,3/4/2019,Carbon Creek,Member,Male,Health and beauty,99.83,6.0,29.95,628.93,598.98,578.22,8.5
CAR-HBE-017,3/12/2019,Carbon Creek,Member,Female,Health and beauty,47.67,4.0,9.53,200.21,190.68,186.9,9.1
CAR-HBE-018,3/7/2019,Carbon Creek,Member,Female,Health and beauty,15.55,9.0,7.0,146.95,139.95,136.01,5.0
CAR-HBE-019,2/15/2019,Carbon Creek,Normal,Male,Health and beauty,15.26,6.0,4.58,96.14,91.56,87.56,9.8
CAR-HBE-020,2/20/2019,Carbon Creek,Normal,Female,Health and beauty,32.32,10.0,16.16,339.36,323.2,306.21,10.0
CAR-HBE-021,3/6/2019,Carbon Creek,Normal,Female,Health and beauty,79.74,1.0,3.99,83.73,79.74,76.28,7.3
CAR-HBE-022,1/24/2019,Carbon Creek,Normal,Female,Health and beauty,77.5,5.0,19.38,406.88,387.5,366.66,4.3
CAR-HBE-023,1/4/2019,Carbon Creek,Member,Male,Health and beauty,20.97,5.0,5.24,110.09,104.85,100.33,7.8
CAR-HBE-024,1/21/2019,Carbon Creek,Member,Male,Health and beauty,53.17,7.0,18.61,390.8,372.19,356.76,8.9
CAR-HBE-025,3/3/2019,Carbon Creek,Normal,Male,Health and beauty,25.0,1.0,1.25,26.25,,,5.5
CAR-HBE-026,2/25/2019,Carbon Creek,Normal,Male,Health and beauty,65.18,3.0,9.78,205.32,195.54,189.21,6.3
CAR-HBE-027,2/12/2019,Carbon Creek,Normal,Male,Health and beauty,25.43,6.0,7.63,160.21,152.58,147.25,7.0
CAR-HBE-028,3/26/2019,Carbon Creek,Normal,Female,Health and beauty,64.27,4.0,12.85,269.93,257.08,249.45,7.7
CAR-HBE-029,2/1/2019,Carbon Creek,Member,Female,Health and beauty,77.68,4.0,15.54,326.26,310.72,296.85,8.4
CAR-HBE-030,3/9/2019,Carbon Creek,Normal,Male,Health and beauty,51.71,4.0,10.34,217.18,206.84,195.25,9.8
CAR-HBE-031,3/4/2019,Carbon Creek,Normal,Male,Health and beauty,14.62,5.0,3.66,76.76,73.1,69.35,4.4
CAR-HBE-032,3/3/2019,Carbon Creek,Normal,Male,Health and beauty,28.95,7.0,10.13,212.78,202.65,193.85,6.0
CAR-HBE-033,3/4/2019,Carbon Creek,Member,Male,Health and beauty,48.63,10.0,24.32,510.62,486.3,467.02,8.8
CAR-HBE-034,2/6/2019,Carbon Creek,Normal,Female,Health and beauty,35.68,5.0,8.92,187.32,178.4,170.1,6.6
CAR-HBE-035,2/28/2019,Carbon Creek,Normal,Male,Health and beauty,56.0,3.0,8.4,176.4,168.0,160.02,4.8
CAR-HBE-036,3/26/2019,Carbon Creek,Member,Female,Health and beauty,10.69,5.0,2.67,56.12,53.45,52.28,7.6
CAR-HBE-037,1/20/2019,Carbon Creek,Member,Male,Health and beauty,55.5,4.0,11.1,233.1,222.0,211.22,6.6
CAR-HBE-038,3/4/2019,Carbon Creek,Normal,Female,Health and beauty,68.71,3.0,10.31,216.44,206.13,197.12,8.7
CAR-HBE-039,2/14/2019,Carbon Creek,Member,Male,Health and beauty,91.3,1.0,4.57,95.87,91.3,88.37,9.2
CAR-HBE-040,1/23/2019,Carbon Creek,Member,Female,Health and beauty,95.95,5.0,23.99,503.74,479.75,462.91,8.8
CAR-HBE-041,3/26/2019,Carbon Creek,Member,Female,Health and beauty,27.73,5.0,6.93,145.58,138.65,132.7,4.2
CAR-HBE-042,1/13/2019,Carbon Creek,Member,Female,Health and beauty,39.62,9.0,17.83,374.41,356.58,345.88,6.8
CAR-HBE-043,2/17/2019,Carbon Creek,Member,Female,Health and beauty,92.09,3.0,13.81,290.08,276.27,264.85,4.2
